 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   138   -1.8657  -705800.030920  -705791.894725
   139   -1.9569  -705474.027501  -705467.958266
   140   -1.9550  -705421.189761  -705412.769215
   141   -2.0411  -705742.610941  -705733.046963
   142   -2.0756  -705863.835149  -705853.249428
   143   -1.8446  -705566.464493  -705561.534130
   144   -1.8201  -705779.902859  -705768.335425
   145   -1.9365  -705652.283470  -705644.172651
   146   -1.9246  -705725.053649  -705722.133318
   147   -2.1533  -705665.340228  -705662.376232
   148   -2.0062  -705974.268481  -705964.453191
   149   -1.8039  -705725.467521  -705719.340491
   150   -1.9482  -705455.516985  -705443.964881
   151   -1.9777  -705846.513629  -705838.709240
   152   -1.9658  -705604.815466  -705597.827704
   153   -1.9763  -705691.838470  -705681.902482
   154   -2.0306  -705991.172905  -705984.711134
   155   -1.9710  -705854.063143  -705844.495665
   156   -2.0159  -705710.195710  -705703.811876
   157   -2.0236  -705850.877313  -705840.591268
   158   -1.9955  -705955.488611  -705945.247974
   159   -1.9239  -705892.654683  -705884.455110
   160   -1.9338  -706119.074476  -706107.943776
   161   -2.0183  -705744.389796  -705731.367012
   162   -1.9965  -705839.283620  -705827.779063
   163   -1.8540  -706056.305569  -706046.340657
   164   -2.0329  -706162.185265  -706153.781226
   165   -1.8708  -705615.694237  -705607.779399
   166   -1.9265  -705604.783106  -705597.128640
   167   -1.9233  -705994.307053  -705989.166849
   168   -1.9733  -706245.079477  -706239.460448
   169   -2.0957  -705850.505279  -705844.184202
   170   -1.9522  -705905.415304  -705896.761986
   171   -1.9384  -705899.733422  -705890.749697
   172   -1.9207  -706046.785944  -706040.835561
   173   -1.9578  -705710.871489  -705708.678565
   174   -2.0421  -705862.962506  -705857.717295
   175   -1.9212  -705988.777408  -705980.168030
   176   -2.0770  -705643.943379  -705639.094262
   177   -1.9905  -705598.846558  -705589.913181
   178   -1.9123  -705831.668513  -705827.966556
   179   -1.8736  -705857.513352  -705851.888789
   180   -1.9477  -705673.181044  -705666.361496
   181   -2.1852  -705477.782499  -705476.893333
   182   -1.8588  -705992.729530  -705982.928114
   183   -2.0680  -705663.227134  -705654.671747
   184   -1.9685  -706000.728346  -705994.065302
   185   -1.8596  -705579.108815  -705572.676060
   186   -1.8752  -705886.315114  -705881.257409
   187   -1.9084  -705572.344739  -705565.830919
   188   -2.0008  -705830.959773  -705820.775061
   189   -1.9001  -705911.035352  -705909.528554
   190   -1.9425  -705827.569715  -705820.770220
   191   -2.0300  -705792.953430  -705785.777738
   192   -1.9011  -705793.481409  -705787.634187
   193   -2.1171  -705802.874542  -705790.355290
   194   -1.9570  -706060.577407  -706054.697018
   195   -2.0161  -706052.631093  -706047.151684
   196   -1.9360  -705800.023784  -705792.788711
   197   -1.9198  -705811.481992  -705806.244629
   198   -2.0661  -705868.740626  -705859.914096
   199   -1.9200  -706066.325505  -706061.025894
   200   -1.9158  -705598.130059  -705586.328878
   201   -1.8839  -705428.602356  -705421.449587
   202   -1.8584  -705600.076512  -705589.195727
   203   -1.7949  -706027.359266  -706021.175870
   204   -1.7888  -705792.528032  -705786.968293
   205   -2.0155  -705893.297170  -705888.317330
   206   -1.9226  -706038.544471  -706031.946096
   207   -1.9372  -705702.121648  -705697.755374
   208   -2.0547  -705727.277793  -705717.245167
   209   -1.9518  -705816.358661  -705810.639690
   210   -1.9414  -705725.967783  -705720.940243
   211   -1.9136  -705797.265822  -705787.188300
   212   -1.9280  -705892.770576  -705885.833284
   213   -2.0739  -705823.181843  -705814.541874
   214   -1.9326  -705855.741878  -705848.536810
   215   -1.8599  -705948.356296  -705942.739829
   216   -1.6990  -705736.194660  -705726.666424
   217   -1.9899  -705622.991707  -705615.282629
   218   -1.9237  -705773.956492  -705769.787919
   219   -1.9782  -705679.522964  -705671.692055
   220   -1.9809  -705490.959173  -705482.002668
   221   -1.7916  -705621.008104  -705613.148984
   222   -1.9346  -705757.423407  -705750.773709
   223   -2.0085  -705663.638124  -705654.970785
   224   -1.8889  -705595.733369  -705590.716877
   225   -1.8741  -705726.394904  -705717.839146
   226   -1.7177  -705822.764438  -705817.682622
   227   -1.9301  -705806.708215  -705798.951981
   228   -2.0057  -705681.832974  -705674.018781
   229   -1.9791  -705910.962098  -705903.664369
   230   -1.8558  -705402.553476  -705393.840541
   231   -2.0378  -705637.338650  -705626.993444
   232   -2.2018  -705648.138299  -705640.923465
   233   -1.8492  -705728.145386  -705721.889577
   234   -2.0806  -705435.433495  -705422.730047
   235   -1.8665  -705673.709013  -705666.258508
   236   -1.8568  -705411.909115  -705404.796579
   237   -2.0384  -705913.459774  -705903.647688
   238   -1.9776  -705521.685421  -705515.538560
   239   -2.0080  -705497.905258  -705492.433139
   240   -1.9410  -705443.872117  -705441.200974
   241   -1.8014  -706008.140392  -706004.248784
   242   -1.7521  -705587.932534  -705576.747517
   243   -1.9443  -705602.466891  -705594.572479
   244   -2.0146  -705577.501728  -705570.798183
   245   -2.1030  -705518.779437  -705512.795068
   246   -1.8854  -705559.176445  -705550.677919
   247   -2.0540  -705571.982413  -705568.522319
   248   -1.7560  -705851.284288  -705843.210913
   249   -1.8702  -705875.429805  -705868.804017
   250   -2.0039  -705375.283604  -705367.984897
   251   -2.2374  -705821.988754  -705817.059483
   252   -2.1079  -705474.396486  -705464.790903
   253   -1.8084  -705716.031888  -705712.160682
   254   -2.0612  -705534.883566  -705526.165793
   255   -1.9652  -705862.924887  -705859.321703
   256   -1.9424  -705578.127881  -705570.428850
   257   -1.8099  -705637.621814  -705624.445999
   258   -1.9939  -706148.861440  -706133.156323
   259   -1.9046  -705530.862214  -705520.234975
   260   -1.7852  -705720.488147  -705716.619401
   261   -2.0658  -705782.380380  -705776.062087
   262   -1.9904  -705519.987807  -705509.072124
   263   -2.1532  -705669.734597  -705659.378515
   264   -2.0697  -705504.475156  -705497.549891
   265   -1.9332  -705726.359682  -705721.045286
   266   -1.8838  -705355.421001  -705346.025157
   267   -1.7105  -705315.480952  -705302.952783
   268   -1.9626  -705923.502016  -705914.912416
   269   -2.0088  -705544.950031  -705537.402276
   270   -2.0378  -705802.490368  -705796.992307
   271   -2.1661  -705831.025930  -705824.428785
   272   -2.0462  -705523.301902  -705511.669326
   273   -1.7271  -705866.982491  -705861.557976
   274   -1.7557  -705950.181599  -705942.999595
   275   -1.9396  -705914.297920  -705907.927654
   276   -2.0261  -705757.716314  -705748.528071
   277   -1.9795  -705804.609941  -705794.909088
   278   -1.9914  -705701.930989  -705691.699368
   279   -1.9169  -705535.568020  -705532.481161
   280   -1.9005  -705769.114945  -705763.046860
   281   -2.0235  -705808.217295  -705799.867199
   282   -1.8686  -705817.445198  -705810.263976
   283   -1.8426  -705921.048223  -705914.318493
   284   -1.8970  -705557.936058  -705546.248742
   285   -2.1535  -705760.791322  -705754.754781
   286   -1.9404  -705883.951442  -705878.809993
   287   -2.0123  -705829.001027  -705825.722582
   288   -1.8282  -705777.616044  -705774.650369
   289   -2.0588  -705816.480672  -705809.712405
   290   -2.0122  -705697.447931  -705693.112925
   291   -1.9268  -705957.223057  -705951.526820
   292   -1.9010  -705776.156710  -705770.030508
   293   -1.8921  -705390.275666  -705383.867103
   294   -1.9964  -705714.881676  -705704.744311
   295   -1.8091  -705835.464130  -705827.374944
   296   -1.8062  -705721.871600  -705718.557173
   297   -2.0591  -705791.892468  -705783.694342
   298   -1.9117  -705877.227731  -705870.543080
   299   -2.0310  -705757.533382  -705753.812546
   300   -1.8249  -705781.787480  -705771.082978
   301   -1.7030  -705376.294391  -705363.021450
   302   -1.7875  -705500.684303  -705494.680716
   303   -2.1267  -705712.711698  -705703.071532
   304   -1.9647  -705783.167484  -705768.784043
   305   -2.0789  -705505.962184  -705500.758244
   306   -1.9707  -705362.016078  -705353.147917
   307   -2.1057  -705812.532538  -705807.594094
   308   -1.9344  -705608.355228  -705601.473578
   309   -1.9765  -705634.752843  -705626.986645
   310   -1.9810  -705785.834630  -705773.793083
   311   -1.7833  -705611.585582  -705606.481352
   312   -2.0225  -705653.894613  -705645.263181
   313   -1.9998  -705586.769486  -705580.266378
   314   -1.9264  -705420.337209  -705415.554180
   315   -1.8970  -705392.618778  -705382.938789
   316   -1.9366  -705572.922378  -705570.239855
   317   -1.8856  -705696.566921  -705694.939864
   318   -1.9922  -705583.371394  -705569.861240
   319   -2.0857  -705806.495787  -705802.005457
   320   -1.8876  -705597.114259  -705587.260318
   321   -1.8934  -705499.119201  -705494.724584
   322   -2.1345  -705668.641372  -705662.106983
   323   -1.9338  -705418.006977  -705404.656467
   324   -1.9400  -705795.775679  -705787.636218
   325   -1.9791  -705688.384955  -705678.705860
   326   -2.0169  -705861.057548  -705855.607767
   327   -1.9315  -705381.404794  -705374.245308
   328   -1.9685  -705797.276192  -705791.818868
   329   -2.0717  -705720.446809  -705710.609280
   330   -2.0096  -705778.646287  -705775.655870
   331   -1.8519  -705760.089866  -705754.798791
   332   -1.9574  -705936.128087  -705923.739161
   333   -1.9987  -705331.423674  -705322.252743
   334   -1.9812  -705759.345235  -705752.500630
   335   -2.1179  -705614.865621  -705609.360287
   336   -1.9852  -705578.718140  -705572.055135
   337   -1.9999  -705762.970976  -705756.631433
   338   -1.9634  -705612.383446  -705608.339771
   339   -1.8230  -706014.956203  -706009.375419
   340   -2.0255  -705712.877273  -705708.084262
   341   -2.0692  -705713.598064  -705702.264601
   342   -2.0092  -705484.150854  -705480.319866
   343   -1.9078  -705831.836008  -705820.473076
   344   -2.1398  -705825.614112  -705813.359179
   345   -2.0182  -705606.945812  -705597.282076
   346   -1.8667  -705714.259885  -705704.803015
