 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
     1   -1.8545  -698956.943445  -698950.075150
     2   -1.9317  -698596.960391  -698592.449360
     3   -2.0419  -698615.909358  -698612.313428
     4   -1.9683  -698750.707186  -698743.987050
     5   -2.1120  -698948.448406  -698941.078637
     6   -2.1037  -698670.990740  -698664.988311
     7   -2.0302  -698549.898405  -698540.884848
     8   -1.9957  -698776.045211  -698765.329340
     9   -1.9743  -698625.171566  -698615.645249
    10   -1.9401  -698871.812070  -698863.443072
    11   -1.8787  -698535.470859  -698526.849347
    12   -2.1112  -698727.848140  -698719.823110
    13   -2.0865  -698835.863910  -698829.370207
    14   -2.0340  -698834.518759  -698827.654605
    15   -1.9033  -698694.712405  -698685.842773
    16   -2.1650  -698539.567678  -698533.948378
    17   -2.0350  -698569.000765  -698562.599089
    18   -1.9586  -698826.340257  -698814.583065
    19   -2.1411  -698912.721044  -698905.923279
    20   -2.1487  -698821.973230  -698814.215898
    21   -2.1420  -698674.148289  -698665.503318
    22   -2.0345  -698375.258154  -698367.110590
    23   -2.1371  -698855.520256  -698846.229651
    24   -2.0056  -698714.456427  -698706.310272
    25   -1.8895  -698651.174330  -698643.004161
    26   -2.0043  -698511.189216  -698503.495818
    27   -1.8581  -698525.025290  -698514.973814
    28   -1.9353  -698513.046201  -698504.972955
    29   -2.0493  -698518.577463  -698507.765342
    30   -2.0580  -698702.460908  -698692.603752
    31   -1.9486  -698909.913918  -698903.146820
    32   -1.9898  -698516.942255  -698510.877855
    33   -1.9253  -698909.091412  -698901.963389
    34   -1.9203  -698753.738546  -698746.855186
    35   -2.0772  -698854.397863  -698844.903062
    36   -1.9086  -698694.084809  -698685.094801
    37   -2.0002  -698841.160046  -698836.122465
    38   -1.9206  -698761.471724  -698753.319274
    39   -1.8986  -698866.540841  -698860.651628
    40   -1.9373  -698885.267683  -698879.323220
    41   -1.9793  -698508.147474  -698501.711211
    42   -2.1728  -698719.429763  -698712.750042
    43   -1.9970  -698488.518205  -698479.866823
    44   -2.0626  -698475.255528  -698470.237058
    45   -2.1941  -698820.141866  -698812.749984
    46   -1.9440  -698546.330400  -698538.923883
    47   -1.9151  -698521.780833  -698515.843303
    48   -1.9261  -698828.009867  -698820.677301
    49   -2.1460  -698725.523351  -698718.636399
    50   -2.0135  -698657.406570  -698652.573669
    51   -1.9726  -698495.682741  -698489.054219
    52   -2.0239  -698788.323522  -698784.797456
    53   -2.0143  -698714.837072  -698702.161637
    54   -2.0722  -698651.703023  -698641.048067
    55   -1.9007  -698963.022269  -698955.243910
    56   -1.9859  -698808.714627  -698803.051047
    57   -2.0209  -698579.422694  -698568.348916
    58   -2.0061  -698862.917750  -698858.386499
    59   -1.9629  -698812.270134  -698802.207078
    60   -1.9542  -698650.961479  -698643.835289
    61   -1.8481  -698739.027361  -698729.191965
    62   -2.0650  -698900.506000  -698894.606190
    63   -2.0371  -698662.848402  -698650.920055
    64   -2.3559  -698888.681543  -698877.921533
    65   -1.9529  -698682.044794  -698672.275303
    66   -1.9868  -698534.187676  -698528.240496
    67   -2.1115  -698642.582278  -698635.709687
    68   -1.8622  -698861.748603  -698854.151503
    69   -2.0025  -698804.791844  -698790.784596
    70   -1.9767  -698887.106813  -698880.312320
    71   -1.9331  -698432.841255  -698422.683626
    72   -2.0871  -698502.952349  -698495.998273
    73   -2.0545  -698493.917376  -698481.015452
    74   -2.0212  -698793.855961  -698785.862495
    75   -2.0407  -698489.916863  -698479.131191
    76   -1.9650  -698509.704608  -698503.779052
    77   -2.0819  -698334.359366  -698329.053819
    78   -2.0773  -698542.884173  -698536.858677
    79   -2.0749  -698682.338180  -698676.849187
    80   -1.9271  -698714.551164  -698705.561231
    81   -2.0025  -698520.857711  -698511.811724
    82   -1.9967  -698570.275183  -698560.822936
    83   -2.0939  -698514.469061  -698507.988590
    84   -1.9909  -698600.787899  -698595.844551
    85   -2.0110  -698773.475361  -698766.365095
    86   -2.0181  -698381.930539  -698370.817918
    87   -1.9187  -698706.616427  -698698.662679
    88   -1.9865  -698561.033420  -698554.937572
    89   -2.0700  -698619.316534  -698610.809597
    90   -2.0036  -698781.887123  -698771.302234
    91   -2.1020  -698716.667283  -698712.034112
    92   -1.9967  -698667.205742  -698660.534214
    93   -1.9840  -698640.852196  -698634.122686
    94   -1.8895  -698599.583516  -698592.113522
    95   -1.9015  -698676.462190  -698670.657232
    96   -2.1203  -698461.476898  -698452.480399
    97   -2.0688  -698647.320208  -698643.645573
    98   -2.0981  -698798.190140  -698788.663125
    99   -2.0539  -698622.101085  -698617.420573
   100   -1.8794  -698610.385806  -698601.412631
   101   -2.1034  -698888.460945  -698879.999755
   102   -2.0446  -698794.302188  -698786.298389
   103   -2.1358  -698633.862155  -698630.080441
   104   -2.0912  -698726.864251  -698717.720641
   105   -1.9122  -698944.749745  -698936.898826
   106   -2.0697  -698474.226636  -698465.822347
   107   -2.0470  -698482.648581  -698474.181796
   108   -2.0435  -698751.231296  -698740.809099
   109   -2.2564  -698609.674529  -698604.313325
   110   -2.0999  -698640.365318  -698633.940197
   111   -2.0802  -698692.589755  -698688.655460
   112   -2.1114  -698756.475789  -698752.644086
   113   -2.0399  -698803.293514  -698795.897923
   114   -1.8654  -698529.010202  -698519.834760
   115   -1.8595  -698638.300368  -698631.247610
   116   -2.0391  -698523.335045  -698515.750756
   117   -2.0279  -698438.510303  -698429.761079
   118   -2.0278  -698666.328892  -698661.413812
   119   -2.1244  -698502.764565  -698491.569048
   120   -1.9650  -698574.607042  -698568.218165
   121   -2.0917  -698680.076058  -698672.126613
   122   -2.0401  -698600.868360  -698594.313081
   123   -1.8844  -698505.924386  -698497.772278
   124   -1.9518  -698715.899778  -698705.682425
   125   -2.0081  -698553.151389  -698543.503498
   126   -2.0644  -698642.557156  -698634.486558
   127   -2.0050  -698736.821599  -698725.339002
   128   -1.8187  -698733.972606  -698728.372341
   129   -1.9317  -698781.976151  -698774.047817
   130   -1.9823  -698737.508424  -698731.387812
   131   -1.8939  -698243.873157  -698233.032603
   132   -1.9293  -698597.676294  -698587.553760
   133   -1.9980  -698842.234295  -698836.824432
   134   -2.0646  -698539.768956  -698533.502235
   135   -2.1114  -698729.642846  -698724.596911
   136   -1.9201  -698572.077406  -698559.711737
   137   -2.1910  -698395.019580  -698391.830334
   138   -2.0692  -698351.337026  -698339.886617
   139   -2.1301  -698732.163419  -698726.176167
   140   -2.0185  -698698.325054  -698690.026098
   141   -1.8460  -698330.575011  -698324.116582
   142   -1.8780  -698372.444426  -698360.877405
   143   -2.1039  -698491.945778  -698483.345279
   144   -2.0881  -698839.257519  -698832.291953
   145   -2.0029  -698556.750717  -698549.905323
   146   -2.1703  -698610.546546  -698603.606769
   147   -2.1594  -698531.008382  -698524.729467
   148   -2.0689  -698572.313280  -698563.981048
   149   -2.1567  -698537.552063  -698531.633522
   150   -1.8765  -698742.863210  -698733.138347
   151   -2.0569  -698467.645581  -698455.925092
   152   -2.0238  -698724.442475  -698716.919308
   153   -1.8428  -698629.114160  -698623.336355
   154   -2.2148  -698835.730404  -698829.880229
   155   -2.0532  -698764.740736  -698756.451369
   156   -1.9166  -698592.096097  -698584.286310
   157   -1.9971  -698500.335112  -698493.023633
   158   -2.0881  -698766.878492  -698757.783656
   159   -1.9910  -698442.404657  -698435.172028
   160   -2.0275  -698762.503879  -698754.019609
   161   -2.0982  -698385.088435  -698381.534092
   162   -1.9182  -698936.263025  -698927.283255
   163   -2.0347  -698700.059073  -698693.673545
   164   -2.0895  -698886.336206  -698876.298955
   165   -2.0344  -698724.591417  -698719.422366
   166   -2.0769  -698647.577498  -698635.723519
   167   -2.0027  -698850.454531  -698840.624197
   168   -2.1069  -698572.343486  -698566.046091
   169   -2.1020  -698613.551996  -698603.311568
   170   -2.1449  -698647.560378  -698639.185420
   171   -1.9677  -698653.230415  -698647.480060
   172   -2.0638  -698917.411749  -698909.922488
   173   -1.9741  -698642.587298  -698634.872523
   174   -1.9071  -698660.099993  -698651.393638
   175   -2.1026  -698665.653004  -698657.098193
   176   -1.9857  -698845.723074  -698838.014565
   177   -1.8675  -698709.156981  -698704.988092
   178   -2.0277  -699029.917662  -699022.810138
   179   -2.0446  -698632.972026  -698622.627502
   180   -1.9881  -698675.019506  -698666.734774
   181   -2.1035  -698332.211584  -698326.102622
   182   -2.1264  -698895.081650  -698888.458384
   183   -1.9494  -698886.242757  -698876.853648
   184   -1.9405  -699008.491492  -698999.384118
   185   -2.0417  -698945.213396  -698936.711593
   186   -1.7731  -698505.988583  -698495.510886
   187   -1.9080  -698704.208377  -698697.484821
   188   -1.9505  -698311.029737  -698301.296022
   189   -2.0705  -698580.240997  -698570.574099
   190   -1.9271  -698810.960129  -698801.546718
   191   -1.8885  -698847.957725  -698842.631859
   192   -2.0585  -698465.123652  -698455.819688
   193   -2.1717  -698742.937289  -698734.330307
   194   -2.0398  -698482.180619  -698474.582482
   195   -1.9097  -698858.885419  -698847.102483
   196   -1.8561  -698803.840982  -698795.698639
   197   -1.9215  -698609.238417  -698601.155449
   198   -1.9897  -698836.892894  -698829.124783
   199   -2.0271  -698475.350372  -698470.006562
   200   -2.0970  -698467.379224  -698459.545507
   201   -2.0182  -698777.104985  -698767.375673
   202   -1.9377  -698871.170650  -698865.643827
   203   -1.8833  -698656.883547  -698647.960535
   204   -2.0185  -698716.580855  -698704.245487
   205   -2.0758  -698641.949290  -698632.337390
   206   -2.1354  -698876.784118  -698871.574988
   207   -1.9814  -698774.429380  -698764.803867
   208   -1.9547  -698559.166302  -698551.134428
   209   -2.0087  -698630.635391  -698621.916185
   210   -1.8780  -698778.128948  -698772.784512
   211   -1.9834  -698802.419089  -698797.530130
   212   -2.0539  -698945.649325  -698934.007245
   213   -2.0558  -698670.489261  -698662.319986
   214   -2.0175  -698626.306059  -698617.479257
   215   -1.9373  -698573.288970  -698565.075376
   216   -2.1353  -698799.782003  -698793.110435
   217   -1.9859  -698738.890272  -698732.975558
   218   -1.9279  -698813.891441  -698810.205722
   219   -1.9432  -698666.936769  -698656.470583
   220   -1.9813  -698510.296390  -698503.262996
   221   -1.9935  -698829.309831  -698822.025943
   222   -2.0853  -698676.387396  -698667.451305
   223   -2.0205  -698917.368902  -698909.398188
   224   -1.9969  -698928.843688  -698918.089962
   225   -2.1185  -698664.691165  -698661.130064
   226   -1.9577  -699026.945694  -699019.080807
   227   -2.0236  -698332.322420  -698321.922404
   228   -1.9611  -699224.122008  -699218.210900
   229   -2.0326  -698587.911724  -698581.623393
   230   -2.0566  -698812.233256  -698806.846364
   231   -1.8498  -698957.963130  -698949.304056
   232   -2.0450  -698770.266586  -698761.373259
   233   -2.0250  -698418.612860  -698411.318991
   234   -1.8364  -698696.895698  -698690.725708
   235   -2.1514  -698596.800164  -698589.042092
   236   -2.1599  -698513.875762  -698509.892516
   237   -1.9977  -698524.455552  -698517.403329
   238   -1.9266  -698490.345622  -698484.455338
   239   -2.1433  -698831.069198  -698822.167823
   240   -2.0604  -698578.003197  -698574.776994
   241   -1.8311  -698791.079112  -698781.857225
   242   -2.1834  -698834.120231  -698827.208598
   243   -2.2381  -698479.580277  -698469.456734
   244   -2.1320  -698463.898635  -698460.791863
   245   -2.0408  -698472.625435  -698463.518609
   246   -1.8646  -698682.642938  -698676.235169
   247   -1.8976  -698424.866578  -698417.105460
   248   -2.1784  -698787.883738  -698780.014756
   249   -1.9273  -698627.961631  -698621.771760
   250   -1.9211  -698650.836808  -698644.067468
   251   -2.0272  -698808.347567  -698795.001602
   252   -2.0643  -698637.470286  -698627.323959
   253   -2.0305  -698610.272225  -698599.661060
   254   -2.1511  -698571.747497  -698565.158676
   255   -2.0694  -698695.090924  -698686.703577
   256   -2.1416  -698630.212149  -698619.756062
   257   -2.0606  -698466.205889  -698456.370102
   258   -1.8367  -698600.849358  -698591.303348
   259   -1.9003  -698397.273423  -698391.967096
   260   -1.8961  -698713.622725  -698705.614116
   261   -1.8860  -698556.748494  -698552.966801
   262   -1.9875  -698460.734127  -698456.484674
   263   -2.1005  -698588.502103  -698578.786450
   264   -2.1487  -698679.157529  -698669.914407
   265   -2.1738  -698661.200530  -698649.921323
   266   -2.0565  -698558.647656  -698554.718887
   267   -1.9180  -698772.045598  -698765.930031
   268   -1.9286  -698480.919501  -698473.573909
   269   -2.0792  -698683.402393  -698674.808329
   270   -2.0010  -698443.679909  -698434.940000
   271   -1.9317  -698700.383156  -698693.127203
   272   -2.0487  -698271.099544  -698263.938439
   273   -1.9689  -698648.811356  -698641.503915
   274   -1.8549  -698973.925474  -698966.193108
   275   -2.0569  -698594.262021  -698584.684308
   276   -2.1055  -698592.590800  -698586.708733
   277   -2.2279  -698670.072505  -698664.309660
   278   -1.8833  -698477.758254  -698470.933113
   279   -1.9011  -698662.909662  -698652.372616
   280   -1.9448  -698614.527273  -698602.726255
   281   -2.0201  -698501.212530  -698493.234247
   282   -2.0166  -698595.557236  -698589.411840
   283   -2.1845  -698745.617355  -698739.518638
   284   -1.9241  -698484.168129  -698474.896473
   285   -2.0352  -698627.051043  -698619.705025
   286   -2.0358  -698738.197741  -698730.270571
   287   -2.0680  -698706.876313  -698699.733929
   288   -2.0870  -698491.879957  -698479.236550
   289   -2.0846  -698497.806313  -698490.494610
   290   -1.9278  -698491.997760  -698480.884030
   291   -1.8677  -698712.639846  -698703.609622
   292   -1.9464  -698531.915066  -698524.525926
   293   -1.9558  -698707.485063  -698697.987027
   294   -1.9435  -698658.877847  -698651.879272
   295   -2.0253  -698371.390848  -698363.534612
   296   -2.0606  -698742.134965  -698733.532356
   297   -1.9607  -698728.112781  -698718.741268
   298   -2.2014  -698334.437922  -698326.689722
   299   -2.0693  -698521.489171  -698513.760051
   300   -1.9654  -698681.285509  -698674.482214
   301   -2.1251  -698348.466669  -698341.169989
   302   -1.9823  -698609.638148  -698603.187285
   303   -1.9694  -698313.220252  -698304.918835
   304   -2.1049  -698854.696479  -698847.381634
   305   -1.9881  -698433.352524  -698424.588189
   306   -2.0149  -698689.587548  -698683.054362
   307   -2.2013  -698595.171275  -698585.687662
   308   -2.0668  -698635.607377  -698628.178129
   309   -1.8563  -698171.055708  -698166.002673
   310   -1.9915  -698385.911573  -698378.396894
   311   -1.9545  -698495.091212  -698486.763463
   312   -1.9783  -698429.866336  -698421.434674
   313   -1.9011  -698505.336348  -698496.944665
   314   -1.9508  -698839.818927  -698830.776038
   315   -2.1013  -698620.141921  -698613.964164
   316   -1.9847  -698520.200045  -698512.273203
   317   -2.1343  -698476.083479  -698465.619932
   318   -2.1820  -698447.212374  -698438.505826
   319   -2.1705  -698373.521983  -698366.706863
   320   -1.9805  -698460.701897  -698451.577245
   321   -1.9913  -698728.309886  -698713.679750
   322   -2.0309  -698469.394370  -698459.249449
   323   -1.9713  -698600.157291  -698590.729128
   324   -2.1402  -698826.447764  -698819.228568
   325   -2.0542  -698339.862251  -698330.996400
   326   -1.9224  -698594.487460  -698584.540635
   327   -2.0232  -698609.861967  -698600.377053
   328   -1.9537  -698656.048773  -698649.199913
   329   -1.8413  -698592.514640  -698585.250535
   330   -1.9487  -698935.017400  -698929.283457
   331   -2.0628  -698595.071915  -698585.504425
   332   -1.9759  -698615.049469  -698609.534769
   333   -1.9685  -698735.489501  -698728.057633
   334   -2.0574  -698907.210626  -698896.646010
   335   -1.9938  -698388.280460  -698377.843216
   336   -1.9908  -698684.016478  -698674.737010
   337   -2.0850  -698647.269782  -698640.049722
   338   -1.9343  -698648.313119  -698638.420376
   339   -1.8902  -698680.262688  -698671.504507
   340   -1.8822  -698897.188082  -698893.022897
   341   -1.9322  -698519.772481  -698508.468671
   342   -2.1066  -698706.862966  -698698.205903
   343   -1.9193  -699003.723828  -698995.660319
   344   -2.1620  -698343.462767  -698334.863006
   345   -2.0011  -698616.610501  -698610.543799
   346   -1.9365  -698696.067381  -698688.165314
   347   -2.1209  -698520.301591  -698513.380662
   348   -2.0048  -698693.745371  -698680.797875
   349   -1.8823  -698780.205700  -698772.049072
   350   -2.1743  -698129.184126  -698123.610786
   351   -2.2354  -698741.258192  -698734.437671
   352   -1.9703  -698614.615318  -698604.953485
   353   -2.0577  -698585.703169  -698575.609896
   354   -1.9653  -698553.981548  -698544.666256
   355   -2.1728  -698269.943357  -698262.935233
   356   -1.9936  -698905.935296  -698897.595779
   357   -1.9945  -698394.019193  -698384.085576
   358   -2.1326  -698845.340931  -698835.333770
   359   -1.9409  -698836.875429  -698829.761439
   360   -2.0542  -698359.892822  -698354.292026
   361   -2.0666  -698697.123220  -698695.380179
   362   -1.9855  -698866.470052  -698855.651273
   363   -1.8585  -698830.356100  -698820.969609
   364   -2.0116  -698727.865698  -698719.914048
   365   -1.8706  -698800.718982  -698794.101200
   366   -1.9312  -698630.847139  -698622.250086
   367   -2.0301  -698778.417338  -698769.152644
   368   -2.0227  -698804.636273  -698795.361307
   369   -1.8727  -698623.768133  -698619.116347
   370   -1.9844  -698861.705893  -698853.383480
   371   -1.8856  -698732.180188  -698725.242769
   372   -2.0156  -698666.713708  -698660.385408
   373   -1.9216  -698927.518855  -698918.588692
   374   -2.1413  -698645.876836  -698636.839047
   375   -2.0163  -698542.555151  -698535.526548
   376   -2.0184  -698483.787954  -698476.048767
   377   -2.0678  -698708.082516  -698699.431258
   378   -2.1410  -698391.335796  -698383.113215
   379   -2.0433  -698533.500590  -698527.423816
   380   -2.0464  -698726.234693  -698719.943774
   381   -1.7562  -698739.556618  -698731.612107
   382   -1.9037  -698759.322709  -698754.247885
   383   -2.0790  -698669.678300  -698662.919932
   384   -2.1129  -698513.039656  -698504.012202
   385   -1.9833  -698675.640694  -698667.071108
   386   -2.0315  -698406.459556  -698399.209490
   387   -2.0341  -698894.951450  -698885.326615
   388   -2.1259  -698698.684371  -698690.761922
   389   -2.0191  -698443.596495  -698434.720039
   390   -2.0629  -698732.848436  -698724.635374
   391   -1.9845  -698851.363946  -698843.128231
   392   -1.9683  -698687.364903  -698677.316901
   393   -2.0008  -698583.215156  -698576.589800
   394   -2.0950  -698723.815391  -698719.271220
   395   -1.9795  -698479.481423  -698473.679681
   396   -2.0712  -698449.858867  -698442.787145
   397   -2.0800  -698304.093858  -698298.441731
   398   -2.1570  -698589.981428  -698581.208154
   399   -2.0017  -698648.318944  -698641.167618
   400   -2.0853  -698613.484768  -698606.086899
   401   -1.9911  -698831.359858  -698818.937360
   402   -1.9152  -698376.074183  -698366.649703
   403   -1.9779  -698526.365863  -698514.414065
   404   -1.8818  -698718.476048  -698712.307969
   405   -2.1287  -698863.304270  -698857.077779
   406   -1.7949  -698907.832131  -698900.433808
   407   -1.9461  -698674.689104  -698661.971399
   408   -2.0228  -698455.301710  -698445.564038
   409   -2.0734  -698721.807159  -698710.748227
   410   -1.9762  -698807.610599  -698796.464607
   411   -2.0597  -698759.663100  -698752.564866
   412   -2.1565  -698662.909499  -698654.396483
   413   -2.0789  -698645.250554  -698636.824598
   414   -2.2015  -698900.786756  -698894.580817
   415   -1.9303  -698624.878930  -698614.629623
   416   -1.9079  -698628.277932  -698621.709732
   417   -1.8712  -698818.945150  -698808.241432
   418   -1.8870  -698770.764593  -698765.637158
   419   -2.0493  -698773.812445  -698767.005943
   420   -1.9814  -698738.201484  -698730.804865
   421   -1.9839  -698664.393489  -698653.689921
   422   -2.0674  -698728.888302  -698712.895770
   423   -2.1177  -698653.586104  -698642.824288
   424   -2.0301  -698620.656541  -698613.275672
   425   -2.0321  -698774.323450  -698763.886438
   426   -1.9795  -698365.750363  -698355.191615
   427   -2.0745  -698641.845150  -698633.876484
   428   -1.9506  -698441.115253  -698433.582426
   429   -1.9221  -698778.453523  -698770.050816
   430   -1.8701  -698769.394511  -698756.965527
   431   -1.9886  -698260.637248  -698254.309584
   432   -2.0664  -698729.061685  -698722.984267
   433   -2.0969  -698749.208514  -698743.023197
   434   -1.9708  -698474.792574  -698467.574712
   435   -1.9072  -698852.722989  -698845.555402
   436   -1.8600  -698534.065307  -698522.900004
   437   -1.9976  -698530.185307  -698524.931267
   438   -1.9610  -698599.093616  -698590.246974
   439   -1.9717  -698320.126554  -698312.084923
   440   -2.0287  -698667.656266  -698659.004757
   441   -1.9626  -698432.169066  -698424.258796
   442   -1.9512  -698844.921929  -698836.112019
   443   -2.0021  -698380.437242  -698369.997050
   444   -2.0852  -698573.471276  -698562.019240
   445   -2.0655  -698699.401973  -698692.964171
   446   -2.0624  -698698.155215  -698691.733657
   447   -2.1306  -698567.630139  -698561.733337
   448   -1.9744  -698660.167156  -698649.846994
   449   -2.0103  -698290.956749  -698283.104773
   450   -2.0850  -698484.806233  -698477.951020
   451   -1.9813  -698526.661722  -698522.355067
   452   -1.9402  -698605.219931  -698599.576874
   453   -1.9249  -698621.583882  -698612.583196
   454   -2.1736  -698511.050655  -698503.501128
   455   -1.9817  -698457.586969  -698447.634983
   456   -1.9602  -698450.938404  -698442.864942
   457   -2.0947  -698569.343588  -698562.150851
   458   -2.0494  -698338.548967  -698328.491617
   459   -1.9942  -698638.652571  -698630.596290
   460   -1.9718  -698310.822176  -698300.749566
   461   -2.1239  -698328.255171  -698318.385871
   462   -2.0482  -698511.746458  -698501.103020
   463   -1.9883  -698768.079102  -698758.048564
   464   -2.0824  -698614.587765  -698605.017509
   465   -1.9287  -698809.023948  -698800.400697
   466   -2.0843  -698691.903156  -698682.155043
   467   -2.1795  -698401.599056  -698392.878834
   468   -1.9439  -698421.498237  -698410.974027
   469   -2.0196  -698805.397599  -698798.043641
   470   -1.8724  -698561.382243  -698551.927668
   471   -1.9188  -698149.293417  -698138.811934
   472   -1.8922  -698532.125324  -698519.564050
   473   -1.8499  -698690.921710  -698682.721009
   474   -1.9486  -698723.466892  -698717.845564
   475   -2.0420  -698442.658190  -698436.713226
   476   -2.1151  -698530.237394  -698522.894567
   477   -1.8844  -698818.844035  -698812.944825
