 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   478   -2.0369  -698509.203468  -698501.539291
   479   -1.9050  -698475.148694  -698461.784342
   480   -2.0817  -698633.488659  -698626.998072
   481   -2.0139  -698352.654979  -698341.954677
   482   -1.7865  -698604.256968  -698598.867013
   483   -1.8979  -698538.816831  -698530.754106
   484   -2.0619  -698658.216708  -698651.227685
   485   -1.9037  -698551.438480  -698543.181366
   486   -1.8715  -698545.047579  -698537.342363
   487   -1.9095  -698823.010890  -698815.051286
   488   -1.9694  -698175.287945  -698164.102493
   489   -1.8140  -698471.850705  -698464.163643
   490   -1.9630  -698579.995821  -698573.120899
   491   -2.0803  -698564.150487  -698556.659968
   492   -2.0123  -698624.373215  -698620.277857
   493   -1.9315  -698428.460424  -698423.216214
   494   -1.9477  -698595.954223  -698585.264617
   495   -2.0603  -698488.080323  -698476.689139
   496   -1.9830  -698453.279350  -698447.791031
   497   -1.8815  -698829.632430  -698825.764971
   498   -2.0478  -698663.766264  -698657.279732
   499   -2.0866  -698560.573760  -698553.097045
   500   -1.9619  -698268.207130  -698264.445366
   501   -1.9401  -698320.643859  -698311.357230
   502   -2.0142  -698845.371100  -698837.121248
   503   -1.8757  -698525.067082  -698517.524091
   504   -1.9164  -698517.393589  -698512.173106
   505   -2.0106  -698853.065036  -698846.936025
   506   -2.0749  -698677.256216  -698668.237693
   507   -1.8834  -698816.741448  -698809.820072
   508   -2.0373  -698478.874207  -698471.259741
   509   -2.2051  -698614.141384  -698609.217778
   510   -2.1493  -698454.266454  -698449.056881
   511   -1.8933  -698572.648234  -698565.464276
   512   -2.0744  -698501.051851  -698491.894970
   513   -1.9669  -698291.193943  -698283.016526
   514   -1.9353  -698826.748922  -698822.096342
   515   -2.2266  -698648.988750  -698636.949301
   516   -2.0702  -698280.758316  -698273.449092
   517   -1.9956  -698547.701932  -698539.775050
   518   -1.7912  -698726.948372  -698719.840105
   519   -1.9134  -698695.461012  -698689.525408
   520   -1.8960  -698716.169718  -698706.943502
   521   -2.1063  -698597.223815  -698584.961700
   522   -1.9746  -698752.778078  -698746.656310
   523   -2.2098  -698546.562480  -698536.403643
   524   -2.0377  -698511.721962  -698505.754202
   525   -1.9825  -698940.470822  -698932.976507
   526   -2.0478  -698385.029754  -698375.338474
   527   -1.9909  -698674.315520  -698670.568485
   528   -1.9606  -698647.744872  -698643.516273
   529   -1.8925  -698589.456913  -698584.668277
   530   -2.0938  -698401.198556  -698393.622248
   531   -2.1126  -698511.719219  -698504.112540
   532   -1.9847  -698491.290795  -698484.161127
   533   -2.1816  -698619.185085  -698611.272533
   534   -1.7944  -698478.337011  -698474.425043
   535   -2.0804  -698491.012716  -698480.932277
   536   -2.0458  -698353.993548  -698345.111106
   537   -2.0467  -698817.359956  -698808.593879
   538   -2.0760  -698871.034221  -698864.469964
   539   -1.9693  -698383.272385  -698374.947837
   540   -1.9456  -698573.865066  -698564.993368
   541   -2.0587  -698678.673075  -698670.868965
   542   -2.0282  -699022.026589  -699009.267684
   543   -1.9205  -698529.549744  -698521.008978
   544   -1.8723  -698639.459980  -698634.178895
   545   -2.0564  -698492.909806  -698485.342742
   546   -2.1096  -698421.949668  -698415.877891
   547   -2.0727  -698471.336663  -698462.416987
   548   -2.0455  -698580.800487  -698574.304606
   549   -2.1424  -698095.414775  -698087.847843
   550   -2.0407  -698704.664794  -698697.780678
   551   -2.1299  -698613.089134  -698605.236103
   552   -2.0845  -698763.763843  -698750.269930
   553   -1.9134  -698503.297183  -698492.792372
   554   -2.0410  -698914.901307  -698909.100228
   555   -2.0701  -698637.970178  -698629.554665
   556   -1.9079  -698507.898540  -698501.894040
   557   -1.9763  -698695.848461  -698686.362774
   558   -2.1116  -698210.660193  -698201.059171
   559   -2.0819  -698538.264768  -698527.962453
   560   -1.8921  -698538.943549  -698531.587251
   561   -1.8826  -698474.955019  -698469.057957
   562   -1.9519  -698446.555701  -698440.424383
   563   -2.1646  -698711.638764  -698706.703321
   564   -1.9927  -698254.749746  -698249.838095
   565   -1.8223  -698576.122300  -698564.076324
   566   -1.8952  -698583.787843  -698579.011566
   567   -2.0167  -698594.745489  -698583.187063
   568   -2.0437  -698699.843588  -698696.208891
   569   -2.1699  -698560.517371  -698552.545942
   570   -1.9859  -698639.640663  -698632.289970
   571   -1.9622  -698350.690647  -698342.432436
   572   -1.8067  -698622.517642  -698613.683375
   573   -2.0751  -698655.424997  -698645.902933
   574   -1.8345  -698716.930887  -698708.286278
   575   -1.9978  -698760.097279  -698752.100950
   576   -2.0494  -698490.601770  -698485.715376
   577   -2.3246  -698395.723495  -698388.807587
   578   -2.0315  -698552.708758  -698540.589462
   579   -2.0423  -698367.133653  -698357.865729
   580   -2.1073  -698618.728849  -698610.360399
   581   -2.1353  -698894.132587  -698884.716938
   582   -1.8585  -698569.420731  -698562.676026
   583   -2.0374  -698533.134669  -698525.707230
   584   -1.9854  -698499.384393  -698490.794973
   585   -2.1807  -698310.781578  -698304.676540
   586   -1.8900  -698736.987548  -698733.487699
   587   -2.0551  -698706.262948  -698698.875829
   588   -2.0045  -698726.963103  -698719.720284
   589   -2.0103  -698823.102187  -698814.457281
   590   -2.0884  -698674.266679  -698669.670466
   591   -1.9579  -698508.926729  -698501.341098
   592   -2.0112  -698670.592179  -698660.500310
   593   -2.0487  -698588.110057  -698577.435404
   594   -1.9240  -698714.375899  -698708.647961
   595   -2.0417  -698991.105600  -698984.539854
   596   -2.0502  -698709.225008  -698705.877950
   597   -2.0834  -698924.577015  -698916.228220
   598   -2.0751  -698815.638746  -698802.320046
   599   -1.9663  -698752.095644  -698741.178161
   600   -1.8883  -698493.270589  -698485.776080
   601   -2.1034  -698976.603659  -698968.994594
   602   -2.1128  -698846.762333  -698834.726475
   603   -1.9472  -698685.094397  -698678.834872
   604   -2.0551  -698652.214679  -698644.676123
   605   -2.2014  -698696.964929  -698689.611066
